id,modul,klausur1,note1,klausur2,note2,vorlesungpraesenz,vorlesungvideo,tutorium,zusatztutorium,vorkenntnisse,einschaetzung,vorbereitungszeit1,vorbereitungszeit2,vorbereitung0,vorbereitung1,vorbereitung2,vorbereitung3,vorbereitung4,vorbereitung5,vorbereitung6,vorbereitung7,vorbereitung8,vorbereitungother,materialname,materialnutzen,uebungansehen,uebungbearbeiten,gruppen,zeit1,zeit2,konzentration1,konzentration2,schwierigkeit1,schwierigkeit2,alter,geschlecht
18,1,1,5,0,,1,0,1,0,0,4,3,,,,Y,,Y,Y,,,,,,,1,0,1,1,,1,,3,,20,3
19,1,1,4,0,,0,14,13,1,1,1,50,,,Y,Y,Y,Y,Y,Y,Y,,,,,12,12,1,3,,2,,4,,23,1
20,1,1,8,0,,11,3,2,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,1,8,0,,11,1,9,1,0,2,48,,,,,Y,Y,Y,Y,Y,,Zusatztutorium,,,8,8,1,2,,1,,3,,26,1
22,1,1,7,0,,14,0,10,1,0,2,10,,,,Y,Y,Y,Y,Y,Y,,,,,12,10,2,1,,1,,3,,22,1
23,1,1,1,0,,3,8,13,0,0,5,5,,,,Y,,Y,Y,,,,,,,9,9,1,1,,1,,4,,19,3
24,1,1,8,0,,13,2,11,0,0,4,9,,,,Y,Y,Y,Y,Y,Y,,,,,8,4,3,1,,2,,3,,20,1
25,1,1,10,0,,7,3,9,0,0,3,25,,,,,Y,,Y,,Y,Y,,Youtube,3,5,5,1,1,,1,,4,,23,1
26,2,1,1,0,,3,10,0,0,1,1,12,,,Y,Y,Y,Y,Y,Y,Y,,,,,2,2,1,1,,2,,3,,22,3
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,1,11,1,5,12,1,5,0,0,2,0,15,,,Y,,Y,Y,Y,Y,,,,,3,3,1,1,1,1,1,3,3,19,1
29,2,0,,1,1,2,9,0,0,0,1,,30,,Y,Y,,,Y,,Y,,,,,1,0,1,,1,,1,,3,24,3
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,0,,1,6,13,1,11,0,0,3,,13,,,Y,,Y,Y,Y,Y,,,,,13,8,1,,1,,1,,3,21,1
32,1,1,11,1,5,10,4,1,0,0,2,12,23,,,Y,Y,Y,Y,Y,Y,,,,,0,0,1,2,3,1,1,4,3,21,2
33,2,1,4,0,,0,14,0,0,0,1,20,,,Y,Y,Y,Y,Y,Y,Y,,,,,12,12,2,1,,1,,3,,22,1
34,2,1,3,0,,0,11,1,0,0,2,4,,,Y,Y,Y,Y,Y,Y,Y,Y,,wikipedia Artikel und Youtube videos zur Ergänzung und für andere Perspektiven und Erklärungen.,3,4,2,1,1,,1,,3,,21,1
35,2,1,3,0,,3,1,3,1,0,2,25,,,,Y,Y,Y,Y,Y,Y,,Wiederholungstutorien,,,6,4,1,1,,2,,3,,25,3
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2,1,4,0,,0,14,0,1,0,4,11,,,Y,Y,,Y,Y,Y,Y,,,,,11,11,1,1,,1,,3,,27,3
38,2,1,2,0,,0,0,0,1,1,5,10,,,,Y,,Y,Y,,,,,,,0,0,1,1,,1,,3,,25,3
39,1,1,4,0,,2,5,12,0,0,2,96,,,,,Y,,Y,,,,,,,7,7,1,1,,2,,3,,23,1
40,1,0,,0,,8,9,1,0,0,4,,,,Y,Y,Y,,Y,,,,,,,2,2,1,,,,,,,23,1
41,1,1,1,0,,0,12,2,1,0,1,30,,,Y,,,,Y,,Y,,,,,4,4,1,3,,1,,4,,21,3
42,2,1,2,0,,4,3,4,0,0,1,25,,,,Y,Y,Y,Y,Y,Y,,,,,8,5,1,1,,1,,3,,24,1
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1,1,11,1,9,1,11,11,0,0,5,6,9,,,,Y,Y,Y,,Y,,,,,0,4,1,1,2,1,1,3,3,22,1
45,1,1,8,0,,1,0,11,0,1,4,8,,,,,,Y,Y,Y,Y,,,,,0,0,1,1,,1,,3,,22,3
46,1,1,1,0,,11,2,11,1,0,2,5,,,,,Y,,Y,,Y,,Mit anderen zusammen gelernt ,,,12,12,3,1,,1,,3,,24,1
47,1,1,1,0,,14,0,10,0,0,1,60,,,,,,,Y,,Y,,konstantes Lernen über Karteikartenapp (täglich ca. 15 min),,,14,14,1,1,,1,,3,,23,3
48,1,1,5,0,,6,8,4,0,0,2,50,,,,,Y,Y,Y,Y,Y,,,,,7,7,2,1,,1,,3,,21,1
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2,1,7,0,,1,0,12,0,1,4,11,,,,,,Y,Y,,,,,,,0,0,1,1,,1,,3,,26,3
51,1,1,8,0,,5,0,2,0,0,3,10,,,,Y,Y,Y,Y,Y,Y,,,,,0,0,1,2,,1,,3,,21,1
52,1,1,1,0,,12,7,9,0,0,2,9,,,Y,Y,Y,Y,Y,Y,Y,Y,,Youtubevideos zur Wahrheitswertanalyse und Ableitung,3,9,7,1,1,,2,,3,,22,3
53,1,0,,1,7,7,12,10,0,0,4,,33,,Y,Y,,Y,Y,Y,Y,,,,,0,6,3,,1,,1,,3,21,1
54,1,1,6,0,,12,2,13,1,0,1,60,,,,Y,Y,Y,Y,Y,Y,Y,,Youtube Videos,6,3,3,2,1,,2,,3,,20,1
55,2,1,1,0,,14,0,14,0,1,1,30,,,,Y,Y,Y,Y,Y,Y,,Karteikarten ,,,12,12,2,1,,1,,3,,21,1
56,1,1,8,0,,11,0,8,0,0,4,20,,,,Y,Y,Y,Y,Y,Y,,,,,0,0,2,1,,1,,3,,21,1
57,1,1,7,0,,6,6,13,0,0,2,20,,,,Y,Y,,Y,,,,,,,4,3,1,3,,2,,2,,21,3
58,1,1,3,0,,8,7,1,0,0,3,25,,,,Y,Y,,Y,,,,,,,0,0,1,1,,1,,4,,21,3
59,2,0,,1,1,0,11,6,0,1,1,,18,,,Y,Y,Y,Y,,,,,,,12,7,1,,1,,1,,3,20,3
60,1,1,2,0,,0,9,4,1,0,1,48,,,Y,Y,Y,Y,Y,Y,Y,,,,,6,6,1,1,,1,,2,,21,1
61,1,1,1,0,,3,4,1,0,1,3,8,,,Y,Y,,Y,Y,,,,,,,0,0,1,1,,1,,1,,20,1
62,1,1,2,0,,2,5,1,0,1,1,10,,,Y,,,Y,Y,Y,Y,,,,,2,0,1,1,,1,,3,,28,1
63,2,1,9,0,,1,0,0,0,1,4,25,,,,Y,,Y,Y,Y,Y,,,,,2,0,1,2,,1,,3,,23,3
64,2,1,1,0,,0,2,10,0,1,1,8,,,,,Y,Y,Y,Y,,,,,,10,8,2,1,,1,,3,,22,3
65,1,1,3,0,,9,0,12,1,0,3,5,,,,Y,,,Y,,,,Folien aus dem tutorium ansehen,,,0,0,1,1,,1,,3,,21,3
66,1,1,5,0,,10,0,8,0,0,2,7,,,,Y,,,,Y,,Y,,Logik von Wesley C. Salmon,4,8,4,1,3,,2,,2,,20,3
67,1,0,,1,5,10,2,0,0,0,3,,10,,,Y,,Y,Y,,Y,Y,,Youtube Erklärvideos,1,2,2,1,,1,,1,,3,21,1
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1,1,1,0,,5,0,5,1,0,1,10,,,,Y,,Y,Y,Y,,,,,,0,0,1,1,,1,,3,,21,3
70,2,1,1,0,,10,4,14,0,1,2,50,,,,,,Y,Y,Y,,Y,Karteikarten,Karteikarten erstellen und lernen mit StudySmarter,1,12,12,1,1,,1,,3,,22,1
71,1,1,11,1,8,4,0,4,0,0,5,15,10,,,Y,,Y,Y,Y,Y,,,,,3,1,1,2,1,2,1,4,3,23,3
72,2,1,1,0,,1,13,0,0,0,2,40,,,Y,Y,,Y,Y,Y,Y,,,,,6,3,1,1,,1,,3,,23,3
73,1,1,7,0,,4,14,0,0,1,2,25,,,Y,Y,Y,Y,Y,Y,Y,,,,,4,4,1,1,,1,,3,,23,3
74,2,1,1,0,,0,0,0,0,1,3,5,,,,Y,,Y,Y,Y,Y,,,,,0,0,1,1,,1,,3,,22,3
75,1,1,11,1,11,4,10,0,0,0,6,8,1,,Y,Y,Y,Y,,Y,,,,,,0,3,1,1,1,1,1,3,3,20,1
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1,1,3,0,,2,12,12,0,0,2,16,,,,Y,Y,Y,Y,Y,Y,,,,,10,3,1,1,,1,,3,,20,3
78,2,1,1,0,,0,1,0,0,1,2,15,,,,Y,,Y,Y,,,,,,,8,8,1,1,,1,,3,,20,3
79,1,1,8,0,,8,14,4,0,0,2,25,,,Y,Y,Y,Y,Y,Y,Y,,,,,3,3,1,1,,1,,3,,20,1
80,1,1,2,0,,0,14,12,1,0,2,70,,,Y,Y,,Y,Y,Y,Y,Y,,"Youtube Videos, vom Chat gpt erklären lassen ",1,11,11,1,1,,1,,2,,28,1
81,1,1,11,0,,10,0,0,0,1,4,3,,,,Y,Y,Y,,Y,,,Mit Kommilitonen ausgetauscht ,,,2,1,1,1,,2,,4,,23,1
82,1,1,4,0,,9,1,10,0,1,2,6,,,,Y,,Y,Y,,,,,,,3,1,1,1,,1,,3,,19,3
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2,1,11,0,,5,2,1,0,0,5,2,,,,Y,,Y,Y,Y,,,,,,1,1,1,1,,1,,4,,21,3
85,1,0,,1,9,6,8,1,0,0,4,,15,,Y,Y,Y,Y,Y,,,,,,,0,0,1,,2,,1,,3,22,3
86,1,1,5,0,,10,4,14,0,0,2,40,,,Y,Y,Y,Y,Y,Y,Y,,,,,14,12,1,1,,1,,3,,20,1
87,1,1,5,0,,4,0,10,0,0,2,10,,,,Y,,Y,,Y,,,,,,10,10,1,1,,1,,3,,32,3
88,2,0,,0,,0,3,1,0,0,1,,,,,Y,Y,Y,Y,Y,Y,,,,,12,12,1,,,,,,,24,3
89,2,1,11,1,11,0,14,0,0,0,3,30,10,,Y,Y,Y,Y,Y,,,Y,,YouTube Videos,6,0,0,1,1,1,1,1,3,2,22,1
90,1,1,7,0,,12,0,12,1,0,3,25,,,,Y,Y,,Y,,Y,,,,,12,11,1,1,,2,,3,,23,1
91,1,1,6,0,,12,2,10,0,0,4,40,,,Y,,Y,Y,Y,Y,Y,,,,,8,12,2,1,,3,,4,,23,1
92,1,1,6,0,,7,0,1,0,0,2,25,,,,Y,Y,Y,Y,Y,Y,,,,,2,2,1,1,,1,,3,,21,1
93,2,1,4,0,,0,2,0,0,0,4,15,,,Y,Y,,Y,Y,Y,Y,,,,,0,0,1,1,,1,,1,,28,3
94,2,1,3,0,,0,1,0,0,0,4,8,,,,Y,Y,,Y,,,,,,,0,0,1,1,,1,,3,,22,3
95,1,1,8,0,,7,7,6,1,0,4,8,,,,,,Y,,Y,Y,,,,,6,3,1,1,,1,,3,,19,1
96,1,1,4,0,,12,10,5,1,0,3,15,,,Y,Y,,Y,Y,,Y,,,,,13,11,1,3,,1,,3,,19,1
97,1,1,5,0,,8,4,10,0,0,3,15,,,Y,Y,Y,,Y,,Y,,Lernen mit Kommilitonen,,,12,12,2,1,,1,,4,,35,1
98,1,1,1,0,,13,1,5,0,0,3,10,,,,,Y,Y,Y,,,,,,,12,12,1,1,,1,,2,,26,3
99,1,1,3,0,,10,4,12,0,0,1,8,,,Y,Y,Y,,Y,,Y,,Gruppenarbeit,,,8,8,2,1,,1,,3,,32,3
100,1,1,11,1,10,12,8,2,0,0,5,8,22,,Y,Y,Y,,,,,Y,,YouTube Videos angeschaut ,3,1,0,2,3,2,2,1,4,3,20,3
101,2,0,,1,4,0,0,0,0,0,2,,15,,,Y,Y,,Y,,,,,,,0,0,3,,1,,1,,4,24,1
102,1,0,,1,5,4,3,3,0,0,5,,16,,,,Y,Y,Y,,,,,,,5,5,1,,2,,1,,4,22,1
103,1,1,1,0,,2,12,14,1,1,1,40,,,Y,Y,Y,Y,Y,Y,Y,Y,,Bücher aus der Bibliothek,4,5,5,1,2,,1,,4,,21,1
104,2,0,,1,9,1,9,0,0,1,3,,15,,Y,Y,,Y,Y,Y,Y,Y,ChatGPT,"Studyflix, ChatGPT, Youtube",1,0,0,1,,2,,1,,4,22,3
105,1,1,6,0,,10,0,9,0,0,6,6,,,,Y,,Y,Y,Y,Y,,,,,6,6,1,1,,1,,2,,20,3
106,1,1,4,0,,13,1,10,0,0,2,20,,,,Y,Y,Y,Y,Y,Y,,,,,10,2,2,1,,1,,3,,20,1
107,2,1,5,0,,10,4,12,1,1,2,30,,,,Y,,Y,Y,Y,Y,,Zusatztutorien,,,12,8,3,1,,2,,2,,23,3
108,2,1,11,1,3,13,0,2,0,0,2,120,30,,,Y,Y,Y,Y,Y,Y,Y,,"Angegebene Bücher, eigene Bücher und Lehrvideos",3,7,7,1,2,1,2,1,5,2,22,3
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2,0,,1,10,3,0,0,0,0,4,,5,,,Y,,Y,,,,,,,,0,0,1,,1,,1,,1,19,3
112,1,0,,1,3,0,8,3,0,0,2,,15,,Y,Y,Y,Y,Y,Y,Y,Y,,Einführung in die Logik Ali Behboud ,2,0,0,1,,1,,1,,3,33,3
113,2,1,2,0,,0,13,0,0,1,2,30,,,Y,Y,Y,Y,Y,Y,Y,,,,,0,0,2,1,,1,,2,,26,3
114,1,1,11,0,,4,14,10,1,0,4,120,,,Y,Y,Y,Y,Y,,Y,,,,,35,20,1,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,2,0,,0,,0,12,0,1,1,2,,,,Y,Y,,Y,Y,Y,,,,,,3,1,1,,,,,,,21,2
117,1,1,2,0,,12,1,12,0,0,1,25,,,,Y,Y,Y,Y,Y,Y,,selber Aufgaben überlegt,,,12,12,1,1,,1,,4,,20,1
118,1,1,6,0,,5,12,4,0,0,2,28,,,Y,Y,Y,Y,Y,Y,Y,Y,,"Youtube, Lernzettel von Kommilitonen aus höheren Semestern",1,7,7,1,2,,2,,3,,34,1
119,1,1,11,0,,11,1,13,0,0,5,30,,,,Y,Y,Y,,,Y,,,,,2,2,2,2,,2,,4,,28,1
120,1,1,11,1,11,9,4,13,0,0,3,60,35,,,Y,Y,Y,Y,Y,,,,,,3,3,1,2,2,1,2,5,5,19,1
121,2,1,6,0,,12,1,13,0,0,1,8,,,,Y,Y,Y,Y,,,Y,,YouTube-Videos,5,2,1,1,1,,1,,3,,20,1
122,1,1,8,0,,8,2,1,1,0,5,20,,,Y,Y,Y,Y,Y,Y,Y,,,,,0,0,2,2,,2,,3,,20,1
123,2,1,3,0,,0,1,1,1,0,2,15,,,,Y,,Y,Y,Y,Y,,Die super gut erklärenden Folien im Tutorium von Joline Marunde. Ganz liebe Grüße und vielen Dank :),,,0,0,1,1,,1,,4,,21,3
124,2,1,9,0,,1,0,0,0,0,5,10,,,,,,Y,Y,Y,Y,,,,,0,0,1,1,,1,,4,,23,3
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1,1,1,0,,12,1,14,0,0,1,10,,,,Y,,,Y,,Y,,,,,12,12,1,1,,1,,3,,36,1
127,1,1,8,0,,3,9,13,0,1,2,30,,,,Y,,Y,Y,Y,Y,,,,,12,12,1,1,,1,,5,,21,3
128,2,0,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,2,0,,1,2,2,1,10,0,1,2,,10,,,Y,Y,,Y,,Y,,,,,12,10,1,,1,,1,,1,22,1
130,2,1,3,0,,3,0,13,1,0,2,24,,,,Y,Y,Y,Y,Y,Y,,Zusammen mit anderen lernen,,,2,2,3,1,,1,,3,,26,1
131,2,1,7,0,,0,2,0,0,0,4,6,,,Y,Y,,Y,Y,Y,Y,,,,,1,1,1,1,,1,,3,,25,3
132,2,1,3,1,1,3,11,10,0,1,1,24,6,,,,Y,Y,Y,Y,Y,,,,,12,12,1,1,1,1,1,4,3,21,1
133,2,1,1,0,,2,0,11,0,1,1,30,,,,Y,Y,Y,Y,Y,Y,,,,,13,5,1,1,,1,,3,,26,1
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,1,1,2,0,,14,0,5,1,0,2,12,,,,Y,Y,Y,Y,Y,Y,,,,,5,2,2,1,,1,,3,,20,1
136,1,1,6,0,,0,11,12,0,0,2,8,,,,Y,,,Y,,,,,,,7,8,1,1,,2,,2,,20,3
137,2,0,,1,4,0,13,0,0,0,2,,20,,Y,Y,Y,Y,Y,Y,Y,,,,,2,2,1,,1,,1,,2,25,1
138,1,0,,1,11,8,12,7,1,0,3,,25,,Y,Y,Y,Y,Y,Y,Y,,,,,5,5,1,,1,,2,,4,19,1
139,2,1,2,0,,0,11,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
